index,source,relation,target,POS_tag_relation,POS_tag_source,POS_tag_target,Lemma_relation,relation_ADP,relation_ADV,relation_AUX,relation_NOUN,relation_VERB
59,Russia,has been,something,"AUX,VERB",PROPN,PRON,have be,0,0,1,0,1
61,Western countries,have seen as,preparation,"AUX,VERB,ADP","ADJ,NOUN",NOUN,have see as,1,0,1,0,1
62,preparation,for,a possible invasion large numbers,ADP,NOUN,"DET,ADJ,NOUN,ADJ,NOUN",for,1,0,0,0,0
63,a possible invasion large numbers,of,troops,ADP,"DET,ADJ,NOUN,ADJ,NOUN",NOUN,of,1,0,0,0,0
64,troops,on,the its neighbour border,ADP,NOUN,"DET,PRON,ADJ,NOUN",on,1,0,0,0,0
67,Western countries,have seen as,preparation,"AUX,VERB,ADP","ADJ,NOUN",NOUN,have see as,1,0,1,0,1
69,Russia,denies,a possible invasion,VERB,PROPN,"DET,ADJ,NOUN",deny,0,0,0,0,1
70,State,said delivered by,the US,"AUX,VERB,ADP",NOUN,"DET,PROPN",said deliver by,1,0,1,0,1
71,the US,in,coordination,ADP,"DET,PROPN",NOUN,in,1,0,0,0,0
72,coordination,with,the Nato military alliance,ADP,NOUN,"DET,PROPN,ADJ,NOUN",with,1,0,0,0,0
73,the Nato military alliance,made,"The US "" core principles",VERB,"DET,PROPN,ADJ,NOUN","DET,PROPN,PUNCT,ADJ,NOUN",make,0,0,0,0,1
74,"The US "" core principles",including,its neighbour sovereignty,VERB,"DET,PROPN,PUNCT,ADJ,NOUN","PRON,ADJ,NOUN",include,0,0,0,0,1
76,its neighbour right,choose be,part,"VERB,VERB","PRON,NOUN,NOUN",NOUN,choose be,0,0,0,0,1
77,part,of,security alliances,ADP,NOUN,"NOUN,NOUN",of,1,0,0,0,0
78,security alliances,as,the Nato military alliance,ADP,"NOUN,NOUN","DET,PROPN,ADJ,NOUN",as,1,0,0,0,0
79,no doubt,about,The US seriousness,ADP,"ADV,ADV","DET,PROPN,NOUN",about,1,0,0,0,0
80,The US seriousness,of,purpose,ADP,"DET,PROPN,NOUN",NOUN,of,1,0,0,0,0
82,it,comes to,diplomacy,"VERB,ADP",PRON,NOUN,come to,1,0,0,0,1
84,The US're,acting with,equal focus,"VERB,ADP","DET,NOUN","ADJ,NOUN",act with,1,0,0,0,1
86,force,bolster to,its neighbour defences,"VERB,ADP",NOUN,"PRON,ADJ,NOUN",bolster to,1,0,0,0,1
87,its neighbour defences,prepare,a swift united response,VERB,"PRON,ADJ,NOUN","DET,ADJ,ADJ,NOUN",prepare,0,0,0,0,1
89,further Russian aggression,of,State,ADP,"ADJ,ADJ,NOUN",NOUN,of,1,0,0,0,0
90,Russia,had issued,a written list,"AUX,VERB",PROPN,"DET,VERB,NOUN",have issue,0,0,1,0,1
91,a written list,written of,Russia'its concerns,"VERB,ADP","DET,VERB,NOUN","NOUN,NOUN",write of,1,0,0,0,1
92,Russia'its concerns,about,the expansion,ADP,"NOUN,NOUN","DET,NOUN",about,1,0,0,0,0
93,the expansion,of,the Nato military alliance,ADP,"DET,NOUN","DET,PROPN,ADJ,NOUN",of,1,0,0,0,0
95,its concerns,about,the expansion,ADP,"PRON,NOUN","DET,NOUN",about,1,0,0,0,0
96,the expansion,of,Nato,ADP,"DET,NOUN",PROPN,of,1,0,0,0,0
98,related security issues,related was,a demand,"VERB,AUX","ADJ,NOUN,NOUN","DET,NOUN",relate be,0,0,1,0,1
99,a demand,for,the Nato military alliance,ADP,"DET,NOUN","DET,PROPN,ADJ,NOUN",for,1,0,0,0,0
100,the Nato military alliance,rule out,the possibility,"VERB,ADP","DET,PROPN,ADJ,NOUN","DET,NOUN",rule out,1,0,0,0,1
101,the possibility,of,its neighbour,ADP,"DET,NOUN","PRON,NOUN",of,1,0,0,0,0
103,others,ever joining,the Nato military alliance,"ADV,VERB",NOUN,"DET,PROPN,ADJ,NOUN",ever join,0,1,0,0,1
105,Russia,has been amassing,large numbers,"AUX,AUX,VERB",PROPN,"ADJ,NOUN",have be amass,0,0,1,0,1
106,large numbers,of,troops,ADP,"ADJ,NOUN",NOUN,of,1,0,0,0,0
107,troops,on,the its neighbour border,ADP,NOUN,"DET,PRON,ADJ,NOUN",on,1,0,0,0,0
110,Western countries,have seen as,preparation,"AUX,VERB,ADP","ADJ,NOUN",NOUN,have see as,1,0,1,0,1
111,preparation,for,a possible invasion,ADP,NOUN,"DET,ADJ,NOUN",for,1,0,0,0,0
112,Russia,denies,a possible invasion,VERB,PROPN,"DET,ADJ,NOUN",deny,0,0,0,0,1
113,State,said delivered by,the US,"AUX,VERB,ADP",NOUN,"DET,PROPN",said deliver by,1,0,1,0,1
114,the US,in,coordination,ADP,"DET,PROPN",NOUN,in,1,0,0,0,0
115,coordination,with,the Nato military alliance,ADP,NOUN,"DET,PROPN,ADJ,NOUN",with,1,0,0,0,0
116,the Nato military alliance,made,"clear, Ukraine's sovereignty",VERB,"DET,PROPN,ADJ,NOUN","ADJ,PUNCT,PROPN,PART,NOUN",make,0,0,0,0,1
118,its neighbour right,choose be,part,"VERB,VERB","PRON,NOUN,NOUN",NOUN,choose be,0,0,0,0,1
119,part,of,security alliances,ADP,NOUN,"NOUN,NOUN",of,1,0,0,0,0
120,security alliances,as,the Nato military alliance,ADP,"NOUN,NOUN","DET,PROPN,ADJ,NOUN",as,1,0,0,0,0
121,no doubt,about,The US seriousness,ADP,"ADV,ADV","DET,PROPN,NOUN",about,1,0,0,0,0
122,The US seriousness,of,purpose,ADP,"DET,PROPN,NOUN",NOUN,of,1,0,0,0,0
124,it,comes to,diplomacy,"VERB,ADP",PRON,NOUN,come to,1,0,0,0,1
126,The US're,acting with,equal focus,"VERB,ADP","DET,NOUN","ADJ,NOUN",act with,1,0,0,0,1
128,force,bolster to,its neighbour defences,"VERB,ADP",NOUN,"PRON,ADJ,NOUN",bolster to,1,0,0,0,1
129,its neighbour defences,prepare,a swift united response,VERB,"PRON,ADJ,NOUN","DET,ADJ,ADJ,NOUN",prepare,0,0,0,0,1
131,further Russian aggression,of,State,ADP,"ADJ,ADJ,NOUN",NOUN,of,1,0,0,0,0
